text,sentiment
"terima kasih pak sby , karena bapak saya bisa merasakan kemajuan yang pesat di indonesia , bangga .",positive
Bagus dan rapi. Pengiriman juga cepat.,positive
"sate jando eitsss bukan sate janda ya ! jando sendiri adalah gajih , lemak atau gajeboh dalam bahasa minang . berlokasi di jalan cimandiri , tepat di belakang gedung sate . buka nya pagi doank dari jam 9 sampai setelah . satu porsi nya 22k , yang tidak suka gaji ada pilihan lain daging sapi atau daging ayam . tapi gajih nya enak banget , bukan main .",positive
"pergi ke sini karena melihat di salah satu acara televisi , tiba di rumah makan disuguhi makanan khas sunda dan saya langsung ke menuju ke menu kesukaan saya yaitu semur jengkol namun setelah dicoba semua rasa makanan nya standar dan satu hal bagi saya yang perokok di sini tidak disediakan tempat makan bagi perokok padahal ruangan nya tidak tertutup secara keseluruhan .",positive
"kualitas barang sesuai harga, bahan lumayan halus, tapi sablon agak kasar sepertinya jangan di cuci dengan mesin cuci, pengiriman cepat",positive
baru kali ini saya menikmati makanan sunda . sambal nya enak tidak terlalu pedas . nasi liwet nya juga top markotop !,positive
"rasa dari makanan nya semuanya enak . disajikan dengan menarik , suasana yang nyaman , homo dan romantis . karena ditata dengan sofa-sofa yang santai , pemandangan yang indah melihat kota bandung di ketinggian , udara yang sejuk kemudian diiringi live musik yang semakin menjadikan suasana romantis . sayang nya , tempat ini cukup laris dan nge - hits .",positive
hidangan masakan padang ini agak berbeda dengan rumah makan sejenis . rendang nya lebih lembut . letak rumah makan padang sederhana ini berdekatan dengan bakso akun . jadi kalau anda menginap di hotel sekitar jalan lingkar selatan bandung bisa atur kunjungan nya .,positive
"tkp mabro dakocan pindah ke jalan rajiman dekat istana plasa , sekarang jadi ramai banget kadang banyak yang pada kehabisan . buka jam 6 sore kalau hari biasa , sabtu minggu hari libur jam 4 sudah buka . saya suka datang lebih awal biar kebagian .",positive
"saat jenuh dengan oleh oleh khas bandung yang sudah ada , maka roti bakar tunggal bisa menjadi pilihan . saya sering beli roti marie yang dibakar dengan rasa yang yuummy , juga roti bakar dengan rasa keju atau coklat nya . biasanya saya beli di counter roti bakar tunggal di paskal hyper square . harga nya memang agak mahal , tapi saya rasa hampir sama dengan makanan oleh-oleh . jadi ya tidak bisa juga dibilang mahal . dan toh rasanya enak .",positive
"Selalu suka dengan sabun ini, enak dan segar� apagi dipakai setelah olahraga",positive
Sesuai deskripsi� seller gercep & interaktif� rekomended �,positive
enakan mi goreng indomie ke mana-mana sih,positive
"resto ini cukup luas , suasana sangat menyenangkan , pengunjung dapat melihat pemandangan kota bandung . menu makanan barat dan indonesian makanan . harga sesuai kualitas dan pelayanan .",positive
"letak nya di dago pakar , kalau malam suasana nya sangat bagus , bisa melihat pemandangan bandung , makanan ya standar makanan barat maupun yang tradisional seperti kafe-kafe yang lain .",positive
pemandangan malam hari lumayan indah cuaca sejuk cocok untuk pasangan muda . makanan barat rasanya lebih pas dibanding dengan lokal makanan yang rasanya biasa-biasa saja tetapi harga sangat premium,positive
"pak prabowo , semoga bapak bisa jadi presiden indonesia , ya , di tahun 2019 , saya akan dukung bapak terus .",positive
"shimizu pompa sumur dangkal ps - 128 bit benar-benar pompa dengan semburan air yang sangat kencang , mantap !",positive
"pajak pokok nya sangat membantu admin yang satu instansi ini , . , . joss deh , . ,",positive
mantep keren oke barang nya,positive
Nyaman di kulit. Kulit jadi glowing ?. Penjualnya ramah banget. Packaging simpel. Packaging aman ??.,positive
"suasana yang nyaman terutama di sore hari . menu yang disajikan tergolong cukup variatif dan yang penting adalah rasanya yang rasanya sangat pas di lidah . harga nya cukup lumayan , murah juga tidak mahal sekali juga tidak . sebanding dengan suasana dan kualitas makanan yang disajikan",positive
"menu yang ditawarkan banyak macam nya , menarik khas kota bandung yang terkenal dengan kekreatifan nya . ketika mampir di sini selepas salat jam at sangat penuh , untung rekan saya sudah pesan tempat duluan , jadi aman spot kami . buat yang suka menu vegetarian pun di sini tersedia . minuman nya juga lucu-lucu bentuk dan jenis nya . seru buat tempat nongkrong bareng teman kampus / kantor .",positive
"walaupun dapat saat harga flash sale, tetapi kualitas barang nya tetap bagus dan struktur nya kokoh utk smartphone pada umum nya.",positive
"menjelang sore saya menuju kampung daun karena saya mau menghabiskan waktu sore menjelang malam saya di sini . sampai di kampung daun saya mendapatkan daftar tunggu yang ke-3 , untung cuma sedikit antrian nya , padahal malam minggu loh , mungkin saya datang masih sore . hehe setelah menunggu kurang lebih 15 menit , saya dipanggil dan diarahkan ke saung di dekat air terjun kalau tidak salah s25 .",positive
"tempat nya asik dengan pemandangan citylight yang bagus , pelayanan cepat walau harus menunggu sih kemarin . efek tahun baru sih haha jadi waitinglist ya . makanya enak enak juga .",positive
"coco rico restoran berada di jalan dago pakar timur , satu area dengan the valley , takigawa meat bar , dan sierra kafe . pemandangan yang diberikan oleh restoran ini cukup baik kita dapat melihat kota bandung , untuk interior nya dibuat seperti mini garden , dan cukup nyaman untuk bersantai dengan keluarga . makan yang disajikan , makanan barat . dan juga ada beberapa menu asia .",positive
"kafe nya unik dan desain nya bisa dibilang lucu dan menyenangkan , makanan nya juga tersedia dalam banyak pilihan , harga nya tidak terlalu mahal . dan ada semacam concept store di depan nya sehingga bisa membunuh waktu saat menunggu makanan",positive
"saat long weekend mei 20012 , antrean sangat-sangat panjang . yang enak : paru , cincau , nasi liwet , oseng tempe",positive
semua makanan ada di sini namun jangan sekali-sekali ke sini saat malam minggu . saya pergi ke sana malam minggu dan sangat ramai hingga akhirnya harus menunggu giliran untuk dapat tempat duduk .,positive
jokowi tidak pernah gagal menekan nilai rupiah sehingga semakin kuat,positive
"lumayan lah buat harian, kualitas sesuai harga..",positive
"Sedikit ada kendala, tapi semuanya sudah normal kembali , makasih Respon toko percakapan baik'??????",positive
"penyajian cukup cepat , rasa makanan enak , tapi porsi daging nya sedikit , sebanding dengan harga nya yang relatif murah . tempat unik dengan atmosphere yang berbeda di tiap lantai .",positive
"enak dan rasanya khas , kalau sudah mencoba ingin kembali kesan lagi . tempat nya juga cukup mudah dijangkau",positive
tempat yang cocok untuk melepas dahaga setelah berbelanja di factory outlet merdeka . dibuat dari buah segar dan harga yang tidak terlalu mahal,positive
"bca keren banget sih pelayanan nya . selain itu , dia mikirin karyawan nya banget . setiap hari saja karyawan nya dapat cemilan popcorn . salut sama pemimpinan nya . bukan cuma mikirin kenyamanan pelanggan , tapi juga karyawan .",positive
"memang sih sore sore di sini itu enak untuk duduk-duduk di teras nya : d suka karena . angin sepoi-sepoi , plus dedaunan hijau hijau . adem < 3",positive
"tiap kali ke bandung , saya selalu makan cuanki di sini . rasanya endus dan porsi nya mantap ! tidak ada dua nya deh . selain kenyang , enak dan harga nya sangat cocok di kantong . walaupun kalau ke sini harus rela antre .",positive
"AMAZING!! Respon seller cepat. Barang ori seperti di foto dan sesuai deskripsi. Proses pengiriman kilat banget.. Thank you yaa kak, sukses selalu :)",positive
". bagi kita yang rutin penuh kesibukan . ada saat nya menikmati suasana yang nyaman , damai , dan tenang . salah satu upaya mengobati rasa tersebut . adalah menyegarkan sambil menikmati makan siang di kawasan rumah makan sapu lidi . serasa kita berada di tengah sawah , suasana perdesaan , sejuk , wuaahh nikmat deh . meski jarak dari pusat kota bandung , agak jauh . tak ada ungkapan yang lebih indah . selain . silakan anda berkunjung ke rm . sapu lidi .",positive
"kualitas barang bagus, dengan harga yg worth the money...bahan nya halus dan tidak gatal kata istri saya.",positive
"lokasi nya memang sedikit tersembunyi di sudut sebuah perumahan , di luar jangkauan bus atau angkot . hanya bisa dijangkau dengan kendaraan pribadi . konsep tempat nya bagus , seperti rumah di pedesaan eropa dengan lantai dan dinding kayu , taman di pekarangan berpagar kayu , berpadu dengan hawa sejuk bandung . selain di dalam , pengunjung bisa menikmati makanan nya di kursi-kursi di area taman yang unik menggunakan drum bekas .",positive
restoran ini salah satu kegemaran keluarga saya . tempat nya asri . makanan nya pun enak . yang paling saya suka ikan dori nya . pizza nya biasa saja .,positive
"lokasi di simpang dago , tempat nya asik untuk nongkrong . beragam rasa ramen ditawarkan , dengan harga yang sangat terjangkau , makanan pencuci mulut nya juga enak . untuk yang mencari ramen murah meriah dengan rasa lumayan enak , mungkin bisa jadi pilihan .",positive
"parkir nya memang sulit karena lokasi nya nyempil . parkir di richese di palak dengan tukang parkir nya goceng . ya sudahlah , gausa ribut , karena hati dan perut senang . menyantap holy steak bagian ii . daging yang tebal tapi juga lembut dan juicy , saya menyukai nya medium - rare . tidak suka welldone karena cenderung kering . atmosfir ruangan nya lumayan , tapi bisa mengakomodasi sampai 10 .",positive
"ayam nya enak loh , empuk dan ayam kampung . lalapan nya dikasih banyak tidak pelit . tempat nya adem karena di lembang . lumpia goreng nya juga enak .",positive
"resto nya seru sekali , konsep ruangan sangat berkelas namun simple . cocok untuk anak muda yang suka nongkrong , ditambah variasi minuman yang menggoda hmm pasti nya lebih seru . menu makanan cukup banyak namun memang kelas nya menengah ke atas , jadi rogoh kocek agak dalem ya .",positive
