text,
bagus  mantap dah sesui pesanan,isi ini ya ges (positive/neutral/negative)
"Bagus, sesuai foto",isi ini ya ges (positive/neutral/negative)
okkkkk mantaaaaaaapppp ... goood,isi ini ya ges (positive/neutral/negative)
bagus sesuai,isi ini ya ges (positive/neutral/negative)
bima,isi ini ya ges (positive/neutral/negative)
baru 10 bulan layarnya dah bergaris,isi ini ya ges (positive/neutral/negative)
"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",isi ini ya ges (positive/neutral/negative)
"Mau tanya ini cicilnya pake apa ya,cc bkn?",isi ini ya ges (positive/neutral/negative)
Apakah TV. Tsb. Suda ada anti gores..,isi ini ya ges (positive/neutral/negative)
Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,isi ini ya ges (positive/neutral/negative)
Kualitas ok,isi ini ya ges (positive/neutral/negative)
"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",isi ini ya ges (positive/neutral/negative)
Pengiriman super lama.. tapi datang juga sich,isi ini ya ges (positive/neutral/negative)
ok barang sampai dengan Baik.. smoga terus di pertahankan...,isi ini ya ges (positive/neutral/negative)
Kalau mau cicilan gmna cra nya??,isi ini ya ges (positive/neutral/negative)
barang sudah sampai dan bagus thanks lazada,isi ini ya ges (positive/neutral/negative)
Pengiriman cepat sipplahhh.......,isi ini ya ges (positive/neutral/negative)
Sampe Sekarang masih Ok ne laptop...,isi ini ya ges (positive/neutral/negative)
Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,isi ini ya ges (positive/neutral/negative)
"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",isi ini ya ges (positive/neutral/negative)
"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",isi ini ya ges (positive/neutral/negative)
belum test barangnya,isi ini ya ges (positive/neutral/negative)
Sudah cape2 transfer tapi pesanan ditolak,isi ini ya ges (positive/neutral/negative)
"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",isi ini ya ges (positive/neutral/negative)
Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,isi ini ya ges (positive/neutral/negative)
Pengn tivinya,isi ini ya ges (positive/neutral/negative)
Mantapppp barang nya,isi ini ya ges (positive/neutral/negative)
Barang mulusss mantapppppp,isi ini ya ges (positive/neutral/negative)
"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",isi ini ya ges (positive/neutral/negative)
"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",isi ini ya ges (positive/neutral/negative)
Barang sampai 2 hari dengan selamat dan sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
Harga sangat murah mantep banget,isi ini ya ges (positive/neutral/negative)
