,text,sentiment
0,"packing rapi,aman...untuk tabletnya lumayan lah..sesuai harga...",isi ini ya ges (positive/neutral/negative)
1,"barang sesuai dg deskripsi, dapet harga murah, ori, sudah dicoba lancar jaya..tx lazada",isi ini ya ges (positive/neutral/negative)
2,Barang sesuai pesanan.,isi ini ya ges (positive/neutral/negative)
3,"mantap, kualitas ok banget",isi ini ya ges (positive/neutral/negative)
4,"jangan pernah menyerah untuk beli produk Coocaa smart,,,, puuuuaaassssss",isi ini ya ges (positive/neutral/negative)
5,TVnya oke biat harga segitu mantab,isi ini ya ges (positive/neutral/negative)
6,Mantap benar sesuai dengan deskripsi singkat barang,isi ini ya ges (positive/neutral/negative)
7,barangnya kecil banget..kirain seperti gambar gede,isi ini ya ges (positive/neutral/negative)
8,"Yg saya kira 64 gb ternyata 64 mb, ntah yg ngirm atau emg tulisan produk tsb sudah dignti entah lah. Yg terpnting menjadi pembelajaran buat ane & terima kasih lazada krna brg tdk sesuai dgn yg dihrapkan sdh kurirnya mminta tips pula krna emg kesalahan ane distu bgitu ditelpon oleh lazada lex saya lgi keluar.",isi ini ya ges (positive/neutral/negative)
9,Barang oke sesuai deskripsi,isi ini ya ges (positive/neutral/negative)
10,"berfungsi baik,cma ngak full 16 giga,tpi14.5 giga tapi ngak apalah dengan harga segitu.",isi ini ya ges (positive/neutral/negative)
11,barang sudah sya terima dalam keadaan baik,isi ini ya ges (positive/neutral/negative)
12,"paraah,,,,memory nya gk bisa nyimpen file,,,kecewa sayaaa,,",isi ini ya ges (positive/neutral/negative)
13,"Bagus ,kondisi barang sesuai dengan yg kita mau",isi ini ya ges (positive/neutral/negative)
14,"pengiriman cepat, kurir ramah (padahal b aja) barang mulus (iyalah 4.8jt)tapi tak semulus paha lucinta luna. gratis tas padahal kalo ditambah mouse mau kali customer namanya juga gretongan cuma sayang gdpt CD DRIVER padahal item itu penting bgt. tapi overall OK lah. yg terakhir tetap jaga AMANAH DARI CUSTOMER YA SEE YOU NEXT ORDER",isi ini ya ges (positive/neutral/negative)
15,barang d terima dgn baik.. dan cukup bagus untuk led harga d bawah 2jt,isi ini ya ges (positive/neutral/negative)
16,"barang diterima dengan baik, sudah dicoba normal jaya",isi ini ya ges (positive/neutral/negative)
17,"parah,,,barang dak bisa pake, sy retur kembalikan",isi ini ya ges (positive/neutral/negative)
18,Luar biasa. Recommended banget nih toko. Pengiriman cepat. Product Ori. Windows Ori. Tersegel Asus. Laptop belum pernah dipakai. Packing aman. Pokoknya sempurna. Terima Kasih 🙏,isi ini ya ges (positive/neutral/negative)
19,"android tv coocaa mendarat drngan aman di bali THX COOCAA N LAZADA,good job n great service",isi ini ya ges (positive/neutral/negative)
20,"barang original, packaging rapi dan aman, dan pengiriman cepat. garansi 10 tahun",isi ini ya ges (positive/neutral/negative)
21,Ane puas banget gan.... Mantap Semula kirain ukuranya kecil... Malah pintu saya gk cukup buat masukin nih tv ke dalam rumah..terpaksa bongkar atap rumah deh agar bisa masuk..,isi ini ya ges (positive/neutral/negative)
22,Ok,isi ini ya ges (positive/neutral/negative)
23,thanks bosku barang telah kami terima dengan baik.semoga sukses selalu.dan makin laris bosku.mantap pokok nya,isi ini ya ges (positive/neutral/negative)
24,Dear.Lazada Barangnya Udah Saya Terima.Packing Ok.Barang Ok.Terimakasih Lazada Dan Penjuanya.,isi ini ya ges (positive/neutral/negative)
25,"barang oke paking rapi menggunakan kayu baru sempat ulas, di pertahankan dan di tingkatkan 👍🙏",isi ini ya ges (positive/neutral/negative)
26,bagus,isi ini ya ges (positive/neutral/negative)
27,ini pengirimannya cepet banget... gokil,isi ini ya ges (positive/neutral/negative)
28,pesaman telah sampai,isi ini ya ges (positive/neutral/negative)
29,baguuuus,isi ini ya ges (positive/neutral/negative)
30,"lumayan lah, ngga mengecewakan 🤗",isi ini ya ges (positive/neutral/negative)
31,"product oke & mudah pengoperasiannya. tpi voucher free hooq 6 blnnya, cara dapatkannya bagaimana yaa?? tidak ada notif di email juga,,, mohon dikirimkan.",isi ini ya ges (positive/neutral/negative)
32,"2 x saya order TV xiaomi led 32"" dari Lazadda... alhamdulilah aman, lancar dan baik saja.... terima kasih Lazadda dan juga terima kasih tak tertinggal utk Ninja del van.... perpaduan yang luar biasa",isi ini ya ges (positive/neutral/negative)
33,"Excellent product, best price, saran saya design di perbaiki, semua akses seperti USB dan Output dapat di jangkau dari depan. Semoga awet deh.",isi ini ya ges (positive/neutral/negative)
34,"Barang oke, sampai dengan selamat, dan langsung berfungsi....... Thanks :)",isi ini ya ges (positive/neutral/negative)
35,"ini tv manteb sekali belum di transfer aja barang udah sampai kemaren, ayam saya suka dengan kardusnya sehingga betah untuk tidak keluar rumah.",isi ini ya ges (positive/neutral/negative)
36,androidnya kok kitkat,isi ini ya ges (positive/neutral/negative)
37,"Packing kayu, kualitas bagus sekali, pokoknya sangat terbaik, pelayanan cepat, barang sampe juga cepat, pokoknya enggak nyesel, terimakasih coocaa",isi ini ya ges (positive/neutral/negative)
38,produk cepat sampai n kualitas ok,isi ini ya ges (positive/neutral/negative)
39,"pengiriman cepat bgt... packing super aman.... pesan senin sore jam 4, selasa siang udah sampe.... barang sesuai yg diharapkan..... sudah dicoba dan berfungsi dgn baik, semoga aweet... :)",isi ini ya ges (positive/neutral/negative)
40,warnanya bqgus.smua nya bagus.kurir nya jg baik.psn malam eh bsk nya siang siang sdh di antar.,isi ini ya ges (positive/neutral/negative)
41,good job lazada cepat dan packing rapi,isi ini ya ges (positive/neutral/negative)
42,Mantap,isi ini ya ges (positive/neutral/negative)
43,"pengiriman cepat, barang sampai di tempat bagus, tdk ada yg lecet dan berfungsi baik.",isi ini ya ges (positive/neutral/negative)
44,Trimah ksih lazada barang y sudah smpai dan tidak cacat sedikit pun.kurir y pun ramah dlm pelayanan y.,isi ini ya ges (positive/neutral/negative)
45,"TV nya bagus, ga malu2in buat harga segitu, dan alhmadulillah bisa dapet sinyal digital, daerah kalideres dapet 27 ch. Pengiriman kilat pake jne, 1 hari langsung sampe. semoga awet dan terima kasih lazada",isi ini ya ges (positive/neutral/negative)
46,"buruk,,di komputer tidak terbaca.. nyesel beli produk ini.. dasar mau ambil untung doank. kualitas tidak jelas.",isi ini ya ges (positive/neutral/negative)
47,memuaskan,isi ini ya ges (positive/neutral/negative)
48,mulus,isi ini ya ges (positive/neutral/negative)
49,bagus mantap,isi ini ya ges (positive/neutral/negative)
50,sampai,isi ini ya ges (positive/neutral/negative)
51,TV good. Delivery service awful.,isi ini ya ges (positive/neutral/negative)
52,diterima dengan aman dan walafiat. sesuai deskripsi..maknyuss,isi ini ya ges (positive/neutral/negative)
53,Jangan Beli Flashdisk disini semuanya . Baru juga sehat udah gak bisa kebaca di laptop.dan 3 hari langsung rusak.saya rugi beli disini,isi ini ya ges (positive/neutral/negative)
54,Tv nya bagus sekli  dan harga nya terjangkau sekli.  Sukses buat lazada dan toko produk,isi ini ya ges (positive/neutral/negative)
